rank,title,year,venue,doi,url,cited_by_count,relevance_score,source_queries,concepts,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_excerpt,serious_skim_rank,deep_read_rank,hostile_prior_rank
11,Shared visuo-tactile interactive perception for robust object pose estimation,2025,The International Journal of Robotics Research,10.1177/02783649241301443,https://doi.org/10.1177/02783649241301443,6,77.69,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation; object-centric latent world model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",contact sensor layout/calibration; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic,"Shared perception between robotic systems significantly enhances their ability to understand and interact with their environment, leading to improved performance and efficiency in various applications. In this work, we present a novel full-fledged framework for robotic systems to interactively share their visuo-tactile perception for the robust pose estimation of novel objects in dense clutter. This is demonstrated with a two-robot team sharing their visuo-tactile scene representation which then declutters the scen",11,11,17
12,Object recognition using tactile sensing in a robotic gripper,2022,Insight - Non-Destructive Testing and Condition Monitoring,10.1784/insi.2022.64.7.383,https://doi.org/10.1784/insi.2022.64.7.383,3,77.204,robot tactile object recognition,,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",probing action family; contact sensor layout/calibration; label ontology; deployment embodiment/domain,"unmodeled probing choices hide discriminative variables; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes tactile object recognition less novel; leaves morphology-conditioned identity partitions mostly open.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic,"Object recognition using the tactile sense is one of the leading human capacities. This capability is not as developed in robotics as other sensory abilities, for example visual recognition. In addition to a robot's ability to grasp objects without damaging them, it is also helpful to provide these machines with the ability to recognise objects while gently manipulating them, as humans do in the absence of or complementary to other senses. Advances in sensory technology have allowed for the accurate detection of di",12,12,8
13,"Perception, navigation, and manipulation in the team KAUST approach to the MBZIRC ground robotics challenge",2019,Journal of Field Robotics,10.1002/rob.21865,https://doi.org/10.1002/rob.21865,2,76.454,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",available contact observables; deployment embodiment/domain,"visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,"Abstract The ground robotics challenge in the Mohammed Bin Zayed International Robotics Challenge required a ground vehicle equipped with a robotic arm to autonomously locate a panel, select a proper size wrench among several options mounted on the panel, and use the wrench to rotate a valve. Autonomy was the critical factor in this challenge, which required the teams to devise algorithms that can operate successfully in a semistructured environment without human supervision. This paper presents the approaches take",13,13,10
14,Robotic Perception and Manipulation in Unstructured Environments,2025,International Journal on Mechanical Engineering and Robotics,10.65521/ijmer.v13i1.97,https://doi.org/10.65521/ijmer.v13i1.97,0,75.0,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; affordance learning model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; distinguishing affordance from identity when observables change,"Robots operating in unstructured environments must perceive, interpret, and interact with dynamic, unpredictable surroundings. Unlike controlled settings, these environments present challenges such as occlusions, clutter, deformable objects, and varying lighting conditions. Recent advancements in artificial intelligence, computer vision, and sensor fusion have enabled robots to enhance their perception capabilities, allowing them to localize objects, recognize affordances, and predict physical interactions. Simulta",14,14,14
15,A Novel Reconfigurable Modular Gripper for In-Hand Object Manipulation and Release With Appropriate Posture,2016,Volume 5A: 40th Mechanisms and Robotics Conference,10.1115/detc2016-59837,https://doi.org/10.1115/detc2016-59837,2,74.454,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",available contact observables; deployment embodiment/domain,"visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,"In-hand manipulation is a frequently demanded task which requires a significant dexterity from grippers. Operations such as object twisting, re-grasping and re-positioning with correct posture after manipulation are the major industrial challenges. Such requiring also determine design complexity of grippers. This paper proposes a new modular two DOF finger which is capable to do manipulation such as twist object about two independent axes when used in modular assembled configuration. Multiple identical fingers of s",15,15,13
16,Effect of Cutaneous Feedback on the Perception of Virtual Object Weight during Manipulation,2020,Scientific Reports,10.1038/s41598-020-58247-5,https://doi.org/10.1038/s41598-020-58247-5,19,73.102,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",end-effector morphology; contact sensor layout/calibration; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic,"Abstract Haptic interface technologies for virtual reality applications have been developed to increase the reality and manipulability of a virtual object by creating a diverse tactile sensation. Most evaluation of the haptic technologies, however, have been limited to the haptic perception of the tactile stimuli via static virtual objects. Noting this, we investigated the effect of lateral cutaneous feedback, along with kinesthetic feedback on the perception of virtual object weight during manipulation. We modeled",16,16,11
17,Robotic perception and manipulation of deformable linear objects: A survey,2026,The International Journal of Robotics Research,10.1177/02783649261432253,https://doi.org/10.1177/02783649261432253,0,73.0,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",end-effector morphology; contact sensor layout/calibration; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic,"Deformable linear objects (DLOs) are widely encountered in everyday life, taking forms such as plastic tubes, wires, ropes, and cables. They are prevalent across diverse settings, including industrial, domestic, and medical environments, as well as in outdoor applications like electric power lines, subaquatic cables, and aerial transport systems. These objects are termed deformable due to their ability to undergo significant shape changes under external forces, and linear because their length vastly exceeds their c",17,17,16
18,Leveraging depth data in remote robot teleoperation interfaces for general object manipulation,2020,The International Journal of Robotics Research,10.1177/0278364919888565,https://doi.org/10.1177/0278364919888565,35,72.613,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,"Robust remote teleoperation of high-degree-of-freedom manipulators is of critical importance across a wide range of robotics applications. Contemporary robot manipulation interfaces primarily utilize a free positioning pose specification approach to independently control each degree of freedom in free space. In this work, we present two novel interfaces, constrained positioning and point-and-click. Both novel approaches incorporate scene information from depth data into the grasp pose specification process, effecti",18,18,20
19,Gripper Pose and Object Pointflow as Interfaces for Robotic Bimanual Manipulation,2025,Robotics: Science and Systems XXI,10.15607/rss.2025.xxi.160,https://doi.org/10.15607/rss.2025.xxi.160,1,72.102,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",available contact observables; deployment embodiment/domain,"visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,19,19,25
20,Human Perception of Inertial Mass for Joint Human-Robot Object Manipulation,2018,ACM Transactions on Applied Perception,10.1145/3182176,https://doi.org/10.1145/3182176,3,70.704,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation,"Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family. | Contact observables reveal intrinsic object state rather than a quotient of state by probe. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",end-effector morphology; contact sensor layout/calibration; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,"In this article, we investigate human perception of inertial mass discrimination in active planar manipulations, as they are common in daily tasks, such as moving heavy and bulky objects. Psychophysical experiments were conducted to develop a human inertial mass perception model to improve usability and acceptance of novel haptically collaborating robotic systems. In contrast to existing literature, large-scale movements involving a broad selection of reference stimuli and larger sample sizes were used. Linear mixe",20,20,47
21,The RUTH Gripper: Systematic Object-Invariant Prehensile In-Hand Manipulation via Reconfigurable Underactuation,2020,Robotics: Science and Systems XVI,10.15607/rss.2020.xvi.093,https://doi.org/10.15607/rss.2020.xvi.093,5,70.556,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",available contact observables; deployment embodiment/domain,"visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,21,21,26
22,Using 3D Convolutional Neural Networks for Tactile Object Recognition with Robotic Palpation,2019,Sensors,10.3390/s19245356,https://doi.org/10.3390/s19245356,45,69.826,robot tactile object recognition,,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; object-centric latent world model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",contact sensor layout/calibration; label ontology; deployment embodiment/domain,"success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes tactile object recognition less novel; leaves morphology-conditioned identity partitions mostly open.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic,"In this paper, a novel method of active tactile perception based on 3D neural networks and a high-resolution tactile sensor installed on a robot gripper is presented. A haptic exploratory procedure based on robotic palpation is performed to get pressure images at different grasping forces that provide information not only about the external shape of the object, but also about its internal features. The gripper consists of two underactuated fingers with a tactile sensor array in the thumb. A new representation of ta",22,22,15
