rank,title,year,venue,relevance_score,problem,mechanism,assumptions,leaves_open
19,Gripper Pose and Object Pointflow as Interfaces for Robotic Bimanual Manipulation,2025,Robotics: Science and Systems XXI,72.102,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
20,Human Perception of Inertial Mass for Joint Human-Robot Object Manipulation,2018,ACM Transactions on Applied Perception,70.704,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation,"Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family. | Contact observables reveal intrinsic object state rather than a quotient of state by probe. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
21,The RUTH Gripper: Systematic Object-Invariant Prehensile In-Hand Manipulation via Reconfigurable Underactuation,2020,Robotics: Science and Systems XVI,70.556,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
22,Using 3D Convolutional Neural Networks for Tactile Object Recognition with Robotic Palpation,2019,Sensors,69.826,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; object-centric latent world model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
23,Leveraging Human Perception in Robot Grasping and Manipulation Through Crowdsourcing and Gamification,2021,Frontiers in Robotics and AI,69.454,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
24,Autonomous Object Manipulation Using a Soft Planar Grasping Manipulator,2015,Soft Robotics,68.961,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; deformable/contact dynamics model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
25,Coupled recursive estimation for online interactive perception of articulated objects,2022,The International Journal of Robotics Research,68.83,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception; deformable/contact dynamics model,"Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family. | Contact observables reveal intrinsic object state rather than a quotient of state by probe. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
26,Comparison of object-level grasp controllers for dynamic dexterous manipulation,2012,The International Journal of Robotics Research,68.379,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
27,Modeling and Grasp Stability Analysis for Object Manipulation by Soft Rolling Fingertips,2014,International Journal of Humanoid Robotics,68.056,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
28,Coupling Human Action Recognizer With Object Detector for Robotic Manipulation in Human-Robot Interaction,2025,ASME Letters in Translational Robotics,68.0,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception; robot learning control policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes. | A category label is stable across changes in contact geometry. | Benchmark labels correspond to the distinctions a deployed gripper can observe.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
29,"Real-Time Performance Evaluation of Household Object Detection, Recognition and Grasping Using Firebird V Robot",2025,Journal of Information Systems Engineering and Management,67.0,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; affordance learning model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
30,Motion Planning for Dynamic Three-Dimensional Manipulation for Unknown Flexible Linear Object,2024,Journal of Robotics and Mechatronics,67.0,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception; deformable/contact dynamics model,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes. | A category label is stable across changes in contact geometry. | Benchmark labels correspond to the distinctions a deployed gripper can observe.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
31,Motion Planning and Reactive Control Algorithms for Object Manipulation in Uncertain Conditions,2018,Robotics,66.898,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
32,Vision for Robust Robot Manipulation,2019,Sensors,66.658,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; affordance learning model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
33,3D Visual Data-Driven Spatiotemporal Deformations for Non-Rigid Object Grasping Using Robot Hands,2016,Sensors,66.583,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
34,A Riemannian-Geometry Approach for Modeling and Control of Dynamics of Object Manipulation under Constraints,2009,Journal of Robotics,66.056,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; robot learning control policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
35,Interactive imitation learning for dexterous robotic manipulation: challenges and perspectives-a survey,2025,Frontiers in Robotics and AI,65.954,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; robot learning control policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
36,"Robotic surfaces with reversible, spatiotemporal control for shape morphing and object manipulation",2021,Science Robotics,65.841,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; robot learning control policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
37,Inertial Properties in Robotic Manipulation: An Object-Level Framework,1995,The International Journal of Robotics Research,65.816,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; object-centric latent world model; pose/category-level perception,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
38,"Forcebased perception and manipulation, the DTU team competing in MBZIRC 2017",2019,Journal of Field Robotics,65.5,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,"Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family. | Contact observables reveal intrinsic object state rather than a quotient of state by probe. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
39,"Survey of robotic manipulation studies intending practical applications in real environments -object recognition, soft robot hand, and challenge program and benchmarking-",2017,Advanced Robotics,65.449,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; mechanistic demonstration beyond benchmark score changes
40,"Interactive Open-Ended Object, Affordance and Grasp Learning for Robotic Manipulation",2019,2019 International Conference on Robotics and Automation (ICRA),65.083,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; affordance learning model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; distinguishing affordance from identity when observables change
41,Motion Planning for Nonprehensile Object Manipulation Using Novel 5-Bar Linkage,2025,Journal of Mechanisms and Robotics,65.0,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
42,From Visual Understanding to Complex Object Manipulation,2019,"Annual Review of Control, Robotics, and Autonomous Systems",64.961,Predict or execute stable grasps and manipulation actions from object observations.,grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
43,A High-Repeatability Three-Dimensional Force Tactile Sensing System for Robotic Dexterous Grasping and Object Recognition,2024,Micromachines,64.556,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
44,The MOPED framework: Object recognition and pose estimation for manipulation,2011,The International Journal of Robotics Research,64.553,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
45,Object Pose Estimation From RGB-D Images With Affordance-Instance Segmentation Constraint for Semantic Robot Manipulation,2024,IEEE Robotics and Automation Letters,64.19,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; affordance learning model; pose/category-level perception,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes. | Affordances are properties of objects alone rather than object-gripper-action triples. | Planning can consume object labels without knowing their gripper-conditioned validity.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; distinguishing affordance from identity when observables change
46,A shape control and object manipulation technique based on function approximation for robotic surfaces,2025,Frontiers in Robotics and AI,64.0,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception; robot learning control policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
47,Research on object recognition for grasping by flexible bionic manipulator based on FBG sensors and Markov transition field,2026,Measurement Science and Technology,64.0,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
48,Bioinspired dual soft arm mobile robot with humanoid tactile fingertip sensing and bubble artificial muscles for adaptive obstacle avoidance and object manipulation,2025,Bioinspiration &amp; Biomimetics,63.954,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",active perception policy; tactile/visuotactile representation; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
