rank,title,year,venue,relevance_score,problem,mechanism,assumptions,leaves_open
11,Effect of Cutaneous Feedback on the Perception of Virtual Object Weight during Manipulation,2020,Scientific Reports,73.102,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
12,"Towards automating construction tasks: Largescale object mapping, segmentation, and manipulation",2021,Journal of Field Robotics,79.483,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
13,A Novel Reconfigurable Modular Gripper for In-Hand Object Manipulation and Release With Appropriate Posture,2016,Volume 5A: 40th Mechanisms and Robotics Conference,74.454,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
14,Robotic Perception and Manipulation in Unstructured Environments,2025,International Journal on Mechanical Engineering and Robotics,75.0,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; affordance learning model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; distinguishing affordance from identity when observables change
15,Using 3D Convolutional Neural Networks for Tactile Object Recognition with Robotic Palpation,2019,Sensors,69.826,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; object-centric latent world model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
16,Robotic perception and manipulation of deformable linear objects: A survey,2026,The International Journal of Robotics Research,73.0,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
17,Shared visuo-tactile interactive perception for robust object pose estimation,2025,The International Journal of Robotics Research,77.69,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation; object-centric latent world model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
18,Proprioceptive Object Shape and Size Extraction via In-Hand-Manipulation with a Variable Friction Robot Gripper,2025,2025 IEEE International Conference on Robotics and Automation (ICRA),78.5,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
19,Leveraging Human Perception in Robot Grasping and Manipulation Through Crowdsourcing and Gamification,2021,Frontiers in Robotics and AI,69.454,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
20,Leveraging depth data in remote robot teleoperation interfaces for general object manipulation,2020,The International Journal of Robotics Research,72.613,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
21,Motion Planning and Reactive Control Algorithms for Object Manipulation in Uncertain Conditions,2018,Robotics,66.898,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
22,"Interactive Open-Ended Object, Affordance and Grasp Learning for Robotic Manipulation",2019,2019 International Conference on Robotics and Automation (ICRA),65.083,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; affordance learning model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; distinguishing affordance from identity when observables change
23,Autonomous Object Manipulation Using a Soft Planar Grasping Manipulator,2015,Soft Robotics,68.961,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; deformable/contact dynamics model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
24,Comparison of object-level grasp controllers for dynamic dexterous manipulation,2012,The International Journal of Robotics Research,68.379,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
25,Gripper Pose and Object Pointflow as Interfaces for Robotic Bimanual Manipulation,2025,Robotics: Science and Systems XXI,72.102,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
26,The RUTH Gripper: Systematic Object-Invariant Prehensile In-Hand Manipulation via Reconfigurable Underactuation,2020,Robotics: Science and Systems XVI,70.556,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
27,Research on object recognition for grasping by flexible bionic manipulator based on FBG sensors and Markov transition field,2026,Measurement Science and Technology,64.0,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
28,The MOPED framework: Object recognition and pose estimation for manipulation,2011,The International Journal of Robotics Research,64.553,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
29,Modeling and Grasp Stability Analysis for Object Manipulation by Soft Rolling Fingertips,2014,International Journal of Humanoid Robotics,68.056,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
30,"Survey of robotic manipulation studies intending practical applications in real environments -object recognition, soft robot hand, and challenge program and benchmarking-",2017,Advanced Robotics,65.449,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; mechanistic demonstration beyond benchmark score changes
31,Vision for Robust Robot Manipulation,2019,Sensors,66.658,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; affordance learning model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
32,3D Visual Data-Driven Spatiotemporal Deformations for Non-Rigid Object Grasping Using Robot Hands,2016,Sensors,66.583,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
33,Interactive object recognition using proprioceptive and auditory feedback,2011,The International Journal of Robotics Research,63.932,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes. | A category label is stable across changes in contact geometry. | Benchmark labels correspond to the distinctions a deployed gripper can observe.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
34,Object recognition and full pose registration from a single image for robotic manipulation,2009,2009 IEEE International Conference on Robotics and Automation,62.539,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes. | A category label is stable across changes in contact geometry. | Benchmark labels correspond to the distinctions a deployed gripper can observe.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
35,A Riemannian-Geometry Approach for Modeling and Control of Dynamics of Object Manipulation under Constraints,2009,Journal of Robotics,66.056,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; robot learning control policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
36,Design of a Roller-Based Dexterous Hand for Object Grasping and Within-Hand Manipulation,2020,2020 IEEE International Conference on Robotics and Automation (ICRA),63.496,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
37,Neuromorphic visuotactile slip perception for robotic manipulation,2026,Robotics and Autonomous Systems,60.5,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation,"Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family. | Contact observables reveal intrinsic object state rather than a quotient of state by probe. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
38,Integrating visual perception and manipulation for autonomous learning of object representations,2013,Adaptive Behavior,63.394,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; object-centric latent world model; pose/category-level perception,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes. | A category label is stable across changes in contact geometry. | Benchmark labels correspond to the distinctions a deployed gripper can observe.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
39,"Real-Time Performance Evaluation of Household Object Detection, Recognition and Grasping Using Firebird V Robot",2025,Journal of Information Systems Engineering and Management,67.0,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; affordance learning model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
40,A High-Repeatability Three-Dimensional Force Tactile Sensing System for Robotic Dexterous Grasping and Object Recognition,2024,Micromachines,64.556,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
41,Tactile Behaviors with the Vision-Based Tactile Sensor FingerVision,2019,International Journal of Humanoid Robotics,62.027,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
42,ARMBench: An Object-centric Benchmark Dataset for Robotic Manipulation,2023,2023 IEEE International Conference on Robotics and Automation (ICRA),62.537,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; object-centric latent world model,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes. | A single latent object embedding can serve all manipulation actions. | A learned representation that is invariant across embodiments is always beneficial.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; mechanistic demonstration beyond benchmark score changes
43,Object Pose Estimation From RGB-D Images With Affordance-Instance Segmentation Constraint for Semantic Robot Manipulation,2024,IEEE Robotics and Automation Letters,64.19,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; affordance learning model; pose/category-level perception,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes. | Affordances are properties of objects alone rather than object-gripper-action triples. | Planning can consume object labels without knowing their gripper-conditioned validity.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; distinguishing affordance from identity when observables change
44,"The KIT object models database: An object model database for object recognition, localization and manipulation in service robotics",2012,The International Journal of Robotics Research,60.067,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes. | A category label is stable across changes in contact geometry. | Benchmark labels correspond to the distinctions a deployed gripper can observe.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
45,Inertial Properties in Robotic Manipulation: An Object-Level Framework,1995,The International Journal of Robotics Research,65.816,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; object-centric latent world model; pose/category-level perception,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
46,Coupled recursive estimation for online interactive perception of articulated objects,2022,The International Journal of Robotics Research,68.83,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception; deformable/contact dynamics model,"Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family. | Contact observables reveal intrinsic object state rather than a quotient of state by probe. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
47,Human Perception of Inertial Mass for Joint Human-Robot Object Manipulation,2018,ACM Transactions on Applied Perception,70.704,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation,"Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family. | Contact observables reveal intrinsic object state rather than a quotient of state by probe. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
48,Learning Affordance Space in Physical World for Vision-based Robotic Object Manipulation,2020,2020 IEEE International Conference on Robotics and Automation (ICRA),62.292,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; affordance learning model,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes. | Affordances are properties of objects alone rather than object-gripper-action triples. | Planning can consume object labels without knowing their gripper-conditioned validity.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; distinguishing affordance from identity when observables change
